,,,,,,,,,,,,,,,,,,,,,,,0-120 seconds,121-300 seconds,301-600 seconds,601-1800 seconds,1801-3600 seconds,3601-65535 seconds,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
2020.07.10 14:17:20,2020.07.10 14:17:20,4,37.91813,16.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 14:17:20,1,No,,No,,,7015 877 1593 15 1 0 4 4,No,
2020.07.10 14:17:51,2020.07.10 14:00:00,,,,2020.07.10 14:17:51,Resolved QFP,37.917011,16.02673,33S,4197104,590247,10,,1.9,0x84300485,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 14:31:09,2020.07.10 14:30:00,,,,2020.07.10 14:31:09,Resolved QFP,37.9174,16.027598,33S,4197148,590323,-1,,3.1,0x04300684,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 15:40:03,2020.07.10 15:30:00,,,,2020.07.10 15:40:03,Resolved QFP,37.919408,16.044304,33S,4197387,591789,13,,1,0xC021048D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 16:00:00,2020.07.10 14:00:00,,,,,,,,,,,,,,,,0.95703,41,177,,,11,,,,,,,0.58984,0.33984,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,35,6,0,0,0,0,0,0,0,0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 16:12:55,2020.07.10 16:00:00,,,,2020.07.10 16:12:55,Resolved QFP,37.919192,16.044266,33S,4197363,591786,5,,1.1,0xC0210409,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 17:02:40,2020.07.10 17:00:00,,,,2020.07.10 17:02:40,Resolved QFP,37.91859,16.0443,33S,4197297,591789,-8,,3.4,0x40200505,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 23:07:53,1,,,,,Primary,,No,
2020.07.10 17:33:15,2020.07.10 17:33:15,3,37.91813,16.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 17:33:15,1,No,,No,,,154 154 1805 7 0 0 1 0,No,
2020.07.10 17:33:26,2020.07.10 17:30:00,,,,2020.07.10 17:33:26,Resolved QFP,37.91846,16.04439,33S,4197282,591797,8,,1.2,0x4025010D,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 23:07:53,1,,,,,Primary,,No,
2020.07.10 18:00:00,2020.07.10 16:00:00,,,,,,,,,,,,,,,,0.94922,13,538,,,9,,,,,,,0.47266,0.46484,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,7,6,0,0,0,0,0,0,0,0,,,2020.07.10 23:07:53,1,,,,,Primary,,No,
2020.07.10 18:07:31,2020.07.10 18:00:00,,,,2020.07.10 18:07:31,Resolved QFP,37.917871,16.045255,33S,4197218,591874,5,,1.1,0x40250129,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 23:07:53,1,,,,,Primary,,No,
