No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
57,2020.07.10 10:00:00,2020.07.10 08:00:00,,,,,,,,,,,,,,,,0.94922,13.0,499.0,,,9.0,,,,,,,0.06641,0.87109,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
58,2020.07.10 10:00:00,2020.07.10 08:00:00,,,,,,,,,,,,,,,,94.922%,13.0,499.0,,,9.0,,,,,,,6.641%,87.109%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
59,2020.07.10 12:00:00,2020.07.10 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,2020.07.10 17:33:15,1,,,,,Primary,,No,
60,2020.07.10 12:00:00,2020.07.10 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,2020.07.10 17:33:15,1,,,,,Primary,,No,
61,2020.07.10 12:00:00,2020.07.10 10:00:00,,,,,,,,,,,,,,,,94.922%,15.0,507.0,,,7.0,,,,,,,57.422%,36.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
62,2020.07.10 12:00:00,2020.07.10 10:00:00,,,,,,,,,,,,,,,,0.94922,15.0,507.0,,,7.0,,,,,,,0.57422,0.36328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
63,2020.07.10 14:00:00,2020.07.10 12:00:00,,,,,,,,,,,,,,,,98.047%,85.0,77.0,,,11.0,,,,,,,55.078%,36.328%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,74.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
64,2020.07.10 14:00:00,2020.07.10 12:00:00,,,,,,,,,,,,,,,,0.98047,85.0,77.0,,,11.0,,,,,,,0.55078,0.36328,0.01172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,74.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
65,2020.07.10 14:17:20,2020.07.10 14:17:20,4.0,37.91813,16.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 14:17:20,1,No,,No,,,7015 877 1593 15 1 0 4 4,No,
66,2020.07.10 14:17:20,2020.07.10 14:17:20,4.0,37.91813,16.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 14:17:20,1,No,,No,,,7015 877 1593 15 1 0 4 4,No,
